,FU.SHF,SC.INE,LU.INE,BU.SHF,RU.SHF,SP.SHF,OP.SHF,LG.DCE,L.DCE,V.DCE,PP.DCE,EG.DCE,EB.DCE,PG.DCE,BZ.DCE,TA.ZCE,MA.ZCE,FG.ZCE,SA.ZCE,PF.ZCE,PX.ZCE,SH.ZCE,PL.ZCE
20100118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100212,-189.20454072863242,0.0,0.0,0.0,-59.191655746946275,0.0,0.0,0.0,-65.64791836100581,-94.81123122514683,0.0,0.0,0.0,0.0,0.0,-59.80526943999161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100222,-163.3346929926082,0.0,0.0,0.0,-51.73616193240353,0.0,0.0,0.0,-49.672700778873406,-78.29642767756019,0.0,0.0,0.0,0.0,0.0,-45.85864462544109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100223,-147.85853633694424,0.0,0.0,0.0,-45.08531553967645,0.0,0.0,0.0,-35.96660824748265,-64.57578777760018,0.0,0.0,0.0,0.0,0.0,-32.13670596718706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100224,-136.06594162982026,0.0,0.0,0.0,-38.7322873380861,0.0,0.0,0.0,-24.006257089049328,-52.49035059873209,0.0,0.0,0.0,0.0,0.0,-18.82570563605968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100225,-126.4314190568368,0.0,0.0,0.0,-33.511441993767136,0.0,0.0,0.0,-14.569863905101698,-42.50386701961189,0.0,0.0,0.0,0.0,0.0,-8.324302172725513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100226,-118.07386179532021,0.0,0.0,0.0,-28.89348160454539,0.0,0.0,0.0,-5.914195408229631,-34.23005134137021,0.0,0.0,0.0,0.0,0.0,1.9693708211462184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100301,-109.80405797178717,0.0,0.0,0.0,-24.724123479588737,0.0,0.0,0.0,2.2034593506193993,-26.9504672764405,0.0,0.0,0.0,0.0,0.0,10.549885492965903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100302,-102.53822781180774,0.0,0.0,0.0,-21.92855819352854,0.0,0.0,0.0,7.868108664738674,-20.781666561641465,0.0,0.0,0.0,0.0,0.0,16.867275481197815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100303,-95.63898446039735,0.0,0.0,0.0,-19.82394126131327,0.0,0.0,0.0,12.844785546969543,-15.04121683869149,0.0,0.0,0.0,0.0,0.0,21.830887344663374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100304,-88.98689080163948,0.0,0.0,0.0,-18.682574199423758,0.0,0.0,0.0,16.255204773998848,-10.309121662153668,0.0,0.0,0.0,0.0,0.0,25.06202184970268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100305,-71.68960324449912,0.0,0.0,0.0,-13.792530330611495,0.0,0.0,0.0,27.078717793952904,2.2751295867372656,0.0,0.0,0.0,0.0,0.0,36.27936372073043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100308,-57.966931958927056,0.0,0.0,0.0,-9.812189731134909,0.0,0.0,0.0,34.93369158635908,12.386342881701243,0.0,0.0,0.0,0.0,0.0,46.07289011827461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100309,-44.800801173456186,0.0,0.0,0.0,-6.8437964156876445,0.0,0.0,0.0,40.237283172747674,20.751691402914904,0.0,0.0,0.0,0.0,0.0,54.51378195868551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100310,-31.883865375764042,0.0,0.0,0.0,-4.851693391109754,0.0,0.0,0.0,43.733915370145546,28.725211588162587,0.0,0.0,0.0,0.0,0.0,62.52480422727558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100311,-19.280393553805016,0.0,0.0,0.0,-3.7767794387339464,0.0,0.0,0.0,44.63758310487022,35.34951785625878,0.0,0.0,0.0,0.0,0.0,68.69950426600383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100312,-4.3147819880293365,0.0,0.0,0.0,-3.970264153916942,0.0,0.0,0.0,43.63121728238376,41.87900500120859,0.0,0.0,0.0,0.0,0.0,73.40651067667935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100315,9.647827789706287,0.0,0.0,0.0,-5.953925666035106,0.0,0.0,0.0,39.082052698868935,46.23645967445863,0.0,0.0,0.0,0.0,0.0,73.47392224812214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100316,23.044876181554454,0.0,0.0,0.0,-8.317326313149344,0.0,0.0,0.0,33.198794377901905,49.7472121750164,0.0,0.0,0.0,0.0,0.0,72.02206904165703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100317,36.883388869400775,0.0,0.0,0.0,-10.747165070045961,0.0,0.0,0.0,26.786146142743423,53.166244151568364,0.0,0.0,0.0,0.0,0.0,70.26605943661414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100318,51.062876936543084,0.0,0.0,0.0,-12.910394257802949,0.0,0.0,0.0,20.50056569267184,57.64033297220634,0.0,0.0,0.0,0.0,0.0,68.8936289576337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100319,65.61470967514936,0.0,0.0,0.0,-14.41045016677326,0.0,0.0,0.0,14.942393889115959,64.29985551341443,0.0,0.0,0.0,0.0,0.0,67.88218235380894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100322,84.19731147388228,0.0,0.0,0.0,-16.3739750849142,0.0,0.0,0.0,9.791003708307644,73.15499583762578,0.0,0.0,0.0,0.0,0.0,65.19506173731432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100323,101.87427930994188,0.0,0.0,0.0,-18.845233032524767,0.0,0.0,0.0,5.520509430656416,82.98357527834371,0.0,0.0,0.0,0.0,0.0,60.61465361092199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100324,118.61161153959179,0.0,0.0,0.0,-21.533936390508693,0.0,0.0,0.0,1.516182122369632,92.22864985326832,0.0,0.0,0.0,0.0,0.0,54.001562400067655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100325,134.28681657503785,0.0,0.0,0.0,-22.801816830201023,0.0,0.0,0.0,-0.4286041183726489,102.6485784709228,0.0,0.0,0.0,0.0,0.0,48.34335936281514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100326,146.93544560999095,0.0,0.0,0.0,-22.41730485372215,0.0,0.0,0.0,-1.0955475951393705,113.28637354641133,0.0,0.0,0.0,0.0,0.0,43.43372102817043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100329,160.9237384685834,0.0,0.0,0.0,-19.803250150042906,0.0,0.0,0.0,1.4587122681469888,125.97090141066023,0.0,0.0,0.0,0.0,0.0,44.3200694353874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100330,178.01264191785674,0.0,0.0,0.0,-15.527258478480935,0.0,0.0,0.0,6.271780670316703,137.98998897181045,0.0,0.0,0.0,0.0,0.0,48.51757345537392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100331,194.10957762680118,0.0,0.0,0.0,-10.793324404423048,0.0,0.0,0.0,11.006022500530346,147.4968092759213,0.0,0.0,0.0,0.0,0.0,53.60162291687516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100401,209.41082254793227,0.0,0.0,0.0,-5.298968463825581,0.0,0.0,0.0,16.523405463757634,155.85740816514235,0.0,0.0,0.0,0.0,0.0,60.69304697601835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100402,225.16994020351808,0.0,0.0,0.0,0.3252105704111717,0.0,0.0,0.0,22.607105165963326,161.2364965667824,0.0,0.0,0.0,0.0,0.0,69.51521958520807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100406,237.41981926141753,0.0,0.0,0.0,7.211338313118172,0.0,0.0,0.0,30.14128020533791,164.55354938715908,0.0,0.0,0.0,0.0,0.0,82.19696201357426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100407,250.837261527093,0.0,0.0,0.0,15.633595767592874,0.0,0.0,0.0,39.05841947594338,166.88392532036488,0.0,0.0,0.0,0.0,0.0,97.19006055181615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100408,263.37086529268606,0.0,0.0,0.0,24.292164115189625,0.0,0.0,0.0,48.801364941338974,169.00956445978628,0.0,0.0,0.0,0.0,0.0,112.08186849506005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100409,276.88870291836065,0.0,0.0,0.0,32.52179876129803,0.0,0.0,0.0,60.502465138429066,171.3164561472347,0.0,0.0,0.0,0.0,0.0,127.89218445399536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100412,291.06835382755906,0.0,0.0,0.0,40.603882939389955,0.0,0.0,0.0,72.72593520099278,174.10259367057935,0.0,0.0,0.0,0.0,0.0,142.84746985340828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100413,305.0329689157874,0.0,0.0,0.0,49.445809615310694,0.0,0.0,0.0,89.1797163972111,178.82262757000714,0.0,0.0,0.0,0.0,0.0,162.41880933808753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100414,316.788378410365,0.0,0.0,0.0,58.24512339932028,0.0,0.0,0.0,106.57706573931898,185.34159149944136,0.0,0.0,0.0,0.0,0.0,179.91393485705277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100415,337.0714567914437,0.0,0.0,0.0,67.91330561800109,0.0,0.0,0.0,129.1848131170711,195.7934232580044,0.0,0.0,0.0,0.0,0.0,201.7292358024422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100416,357.66823684805973,0.0,0.0,0.0,77.08425756157445,0.0,0.0,0.0,153.14217201891597,205.6966452166771,0.0,0.0,0.0,0.0,0.0,221.26784927114514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100419,364.6515104425425,0.0,0.0,0.0,82.89064459845505,0.0,0.0,0.0,168.99627177457847,217.22438369952988,0.0,0.0,0.0,0.0,0.0,228.66522031447622,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100420,369.89941482288634,0.0,0.0,0.0,86.61058074975779,0.0,0.0,0.0,181.56603317690133,227.18071795093974,0.0,0.0,0.0,0.0,0.0,230.20746882475115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100421,372.5493013849749,0.0,0.0,0.0,88.66235356951658,0.0,0.0,0.0,191.28431368729218,234.8247545692721,0.0,0.0,0.0,0.0,0.0,228.97053821071694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100422,372.84003174758146,0.0,0.0,0.0,89.47501862986371,0.0,0.0,0.0,198.12542573870383,239.43999233225222,0.0,0.0,0.0,0.0,0.0,226.25766487663932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100423,370.8233658357538,0.0,0.0,0.0,89.81004646351928,0.0,0.0,0.0,201.53871725859455,241.50947218399187,0.0,0.0,0.0,0.0,0.0,221.30200257529776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100426,367.1098707362608,0.0,0.0,0.0,88.63766864380925,0.0,0.0,0.0,203.1072638356407,241.5597587395273,0.0,0.0,0.0,0.0,0.0,215.99007547379352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100427,359.11847207652465,0.0,0.0,0.0,83.75056522320837,0.0,0.0,0.0,197.5171462478364,234.98017444218604,0.0,0.0,0.0,0.0,0.0,202.19436738783975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100428,345.78066172064985,0.0,0.0,0.0,76.00098316665341,0.0,0.0,0.0,189.39593867467448,226.08423940109645,0.0,0.0,0.0,0.0,0.0,186.4008128664282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100429,321.32530130430615,0.0,0.0,0.0,65.38497858418796,0.0,0.0,0.0,175.31900688789443,213.7265331706714,0.0,0.0,0.0,0.0,0.0,163.0239561118986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100430,293.9673394034907,0.0,0.0,0.0,53.408587801831416,0.0,0.0,0.0,158.87290016415318,200.3891869380298,0.0,0.0,0.0,0.0,0.0,138.42751641009403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100504,277.8133389412121,0.0,0.0,0.0,42.59387282997341,0.0,0.0,0.0,149.5389481136326,185.03330133972676,0.0,0.0,0.0,0.0,0.0,121.36868174244873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100505,259.73788530480965,0.0,0.0,0.0,30.209134602392886,0.0,0.0,0.0,141.88035914402127,169.28302530746242,0.0,0.0,0.0,0.0,0.0,103.02395618419594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100506,238.24610775110992,0.0,0.0,0.0,15.982724713737941,0.0,0.0,0.0,134.02187080468312,154.0453107260268,0.0,0.0,0.0,0.0,0.0,80.92253529117588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100507,213.8994314579179,0.0,0.0,0.0,0.27224718345193394,0.0,0.0,0.0,124.10496851114847,139.80118132293734,0.0,0.0,0.0,0.0,0.0,54.71182905770208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100510,188.46506874823515,0.0,0.0,0.0,-16.644064603592835,0.0,0.0,0.0,113.82746480828098,126.5078426372861,0.0,0.0,0.0,0.0,0.0,24.974379664459185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100511,161.08842246171042,0.0,0.0,0.0,-34.78078920206751,0.0,0.0,0.0,101.84763083900079,111.51849703179546,0.0,0.0,0.0,0.0,0.0,-9.949212914470348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100512,133.9405349031306,0.0,0.0,0.0,-51.70920379267202,0.0,0.0,0.0,89.6399549618715,97.21784200056199,0.0,0.0,0.0,0.0,0.0,-45.91589001988595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100513,109.19146785162297,0.0,0.0,0.0,-67.58251208429517,0.0,0.0,0.0,76.86013196396503,81.94457522078166,0.0,0.0,0.0,0.0,0.0,-83.40861090570539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100514,83.90875330854311,0.0,0.0,0.0,-82.48908564541215,0.0,0.0,0.0,62.55082216701178,63.948805684015234,0.0,0.0,0.0,0.0,0.0,-118.19333930091202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100517,57.051935761246376,0.0,0.0,0.0,-96.92688029586488,0.0,0.0,0.0,45.637243598734415,43.39410336148876,0.0,0.0,0.0,0.0,0.0,-152.16935917154183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100518,26.7645958567967,0.0,0.0,0.0,-108.81542595822557,0.0,0.0,0.0,25.784805906803644,21.34075117386072,0.0,0.0,0.0,0.0,0.0,-185.03685532803377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100519,-6.315971100894586,0.0,0.0,0.0,-118.60183906562945,0.0,0.0,0.0,2.2468465993991016,-2.6629492118567173,0.0,0.0,0.0,0.0,0.0,-216.23466530601686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100520,-38.3411959495477,0.0,0.0,0.0,-125.67808168072361,0.0,0.0,0.0,-21.148046987511673,-26.244654948110497,0.0,0.0,0.0,0.0,0.0,-241.66267773324233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100521,-66.3760046656688,0.0,0.0,0.0,-129.83202447129167,0.0,0.0,0.0,-42.066231268455624,-49.719864098966866,0.0,0.0,0.0,0.0,0.0,-260.38852629898605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100524,-93.38863381683106,0.0,0.0,0.0,-131.25788819916914,0.0,0.0,0.0,-60.6413938960305,-71.19989772942836,0.0,0.0,0.0,0.0,0.0,-271.96875646869086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100525,-119.76351766854529,0.0,0.0,0.0,-130.27370323970294,0.0,0.0,0.0,-77.14395399204507,-90.3136647166157,0.0,0.0,0.0,0.0,0.0,-275.8798555202008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100526,-143.61111216237225,0.0,0.0,0.0,-127.35200710206027,0.0,0.0,0.0,-90.62399618148176,-105.97012425216383,0.0,0.0,0.0,0.0,0.0,-274.82995090383054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100527,-164.670814579788,0.0,0.0,0.0,-122.16018490391048,0.0,0.0,0.0,-101.50882676894136,-117.47949665847636,0.0,0.0,0.0,0.0,0.0,-266.69340220470525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100528,-181.3423625858501,0.0,0.0,0.0,-115.06753535511488,0.0,0.0,0.0,-109.26867277149115,-123.65232671861493,0.0,0.0,0.0,0.0,0.0,-256.6757628098179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100531,-194.22060664655027,0.0,0.0,0.0,-106.11413768560428,0.0,0.0,0.0,-113.14801529438016,-125.0530890107271,0.0,0.0,0.0,0.0,0.0,-244.29444323498632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100601,-202.7147304764303,0.0,0.0,0.0,-97.45294662507584,0.0,0.0,0.0,-113.65115299121626,-123.85115475248536,0.0,0.0,0.0,0.0,0.0,-229.30023975868684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100602,-206.3712184184166,0.0,0.0,0.0,-88.31906454738557,0.0,0.0,0.0,-111.07491753241723,-120.61996788311373,0.0,0.0,0.0,0.0,0.0,-211.6305789133212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100603,-205.7553523827422,0.0,0.0,0.0,-79.57881244250298,0.0,0.0,0.0,-107.77886578362045,-116.74152348283255,0.0,0.0,0.0,0.0,0.0,-194.09072970570259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100604,-203.10217659807319,0.0,0.0,0.0,-71.31910314241111,0.0,0.0,0.0,-104.06206757514913,-111.97432892450726,0.0,0.0,0.0,0.0,0.0,-177.43909244139587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100607,-197.5424668640381,0.0,0.0,0.0,-64.83476450603838,0.0,0.0,0.0,-101.61325849527461,-109.05780619874277,0.0,0.0,0.0,0.0,0.0,-162.2752420390632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100608,-188.9143492155901,0.0,0.0,0.0,-59.232339224388944,0.0,0.0,0.0,-99.67044385644465,-105.90163526340677,0.0,0.0,0.0,0.0,0.0,-149.4511100981951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100609,-179.43522383305856,0.0,0.0,0.0,-54.63617788477603,0.0,0.0,0.0,-98.19988395858454,-102.84673589829819,0.0,0.0,0.0,0.0,0.0,-137.9707025965009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100610,-170.4397846977874,0.0,0.0,0.0,-51.215665153180076,0.0,0.0,0.0,-97.69768370923248,-101.27621143511814,0.0,0.0,0.0,0.0,0.0,-129.1040862480221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100611,-162.20883401964508,0.0,0.0,0.0,-48.39835036775701,0.0,0.0,0.0,-97.27755005770635,-100.70162914408094,0.0,0.0,0.0,0.0,0.0,-122.04035542069474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100617,-154.73495072797542,0.0,0.0,0.0,-46.15320909481687,0.0,0.0,0.0,-98.40768134875042,-101.59970106080871,0.0,0.0,0.0,0.0,0.0,-116.32834429762684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100618,-147.15055306678124,0.0,0.0,0.0,-44.20276070281737,0.0,0.0,0.0,-99.73526136467859,-102.16997784973023,0.0,0.0,0.0,0.0,0.0,-110.93193420804076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100621,-138.94448331842173,0.0,0.0,0.0,-41.63920125267681,0.0,0.0,0.0,-98.44914727361808,-99.55552045511766,0.0,0.0,0.0,0.0,0.0,-104.3144943667127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100622,-130.96905441737346,0.0,0.0,0.0,-38.633383962377714,0.0,0.0,0.0,-96.68430992898598,-95.98052059668859,0.0,0.0,0.0,0.0,0.0,-97.52149432903919,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100623,-123.81385708556134,0.0,0.0,0.0,-35.124153541401654,0.0,0.0,0.0,-93.67069968536013,-91.58448225213493,0.0,0.0,0.0,0.0,0.0,-90.23835544950738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100624,-117.50212606208251,0.0,0.0,0.0,-31.014156233815044,0.0,0.0,0.0,-89.59378777773574,-86.53617281184958,0.0,0.0,0.0,0.0,0.0,-83.3020679050982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100625,-112.11359606356152,0.0,0.0,0.0,-25.92453173792133,0.0,0.0,0.0,-84.25066714119913,-81.41241464238288,0.0,0.0,0.0,0.0,0.0,-76.20795113578546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100628,-106.87940944569964,0.0,0.0,0.0,-20.179609123737716,0.0,0.0,0.0,-78.55455990432256,-76.00253259093051,0.0,0.0,0.0,0.0,0.0,-68.87979358099028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100629,-101.57027752947444,0.0,0.0,0.0,-14.389264705039826,0.0,0.0,0.0,-72.45948643066313,-70.81094141229958,0.0,0.0,0.0,0.0,0.0,-61.563567464600624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100630,-97.08036903439715,0.0,0.0,0.0,-8.862621747228122,0.0,0.0,0.0,-66.72800597149825,-65.88280199897824,0.0,0.0,0.0,0.0,0.0,-53.90408127030713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100701,-91.87507718253924,0.0,0.0,0.0,-3.7306206985572943,0.0,0.0,0.0,-60.02766017200575,-60.43385969584276,0.0,0.0,0.0,0.0,0.0,-45.996541640850346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20100702,-87.16498916166232,0.0,0.0,0.0,1.3416821406310038,0.0,0.0,0.0,-53.06307327445391,-55.039138915614714,0.0,0.0,0.0,0.0,0.0,-38.39637099062584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
