,AD.SHF,AO.SHF,NI.SHF,PB.SHF,SN.SHF,ZN.SHF
20100304,0.0,0.0,0.0,0.0,0.0,-5.318941953869797
20100305,0.0,0.0,0.0,0.0,0.0,-5.94631261262656
20100308,0.0,0.0,0.0,0.0,0.0,-6.6026143922675455
20100309,0.0,0.0,0.0,0.0,0.0,-7.37054569707153
20100310,0.0,0.0,0.0,0.0,0.0,-7.91317524352205
20100311,0.0,0.0,0.0,0.0,0.0,-8.357435170925942
20100312,0.0,0.0,0.0,0.0,0.0,-8.957263898790353
20100315,0.0,0.0,0.0,0.0,0.0,-9.459306383070047
20100316,0.0,0.0,0.0,0.0,0.0,-10.0572121016811
20100317,0.0,0.0,0.0,0.0,0.0,-10.361486049815872
20100318,0.0,0.0,0.0,0.0,0.0,-10.608964794989237
20100319,0.0,0.0,0.0,0.0,0.0,-6.53164934025432
20100322,0.0,0.0,0.0,0.0,0.0,-3.182034616331305
20100323,0.0,0.0,0.0,0.0,0.0,-0.4354403052702546
20100324,0.0,0.0,0.0,0.0,0.0,1.8512944374922204
20100325,0.0,0.0,0.0,0.0,0.0,3.722863807573405
20100326,0.0,0.0,0.0,0.0,0.0,0.7759006995132869
20100329,0.0,0.0,0.0,0.0,0.0,2.909902043263118
20100330,0.0,0.0,0.0,0.0,0.0,4.634729794025969
20100331,0.0,0.0,0.0,0.0,0.0,6.055050372113726
20100401,0.0,0.0,0.0,0.0,0.0,7.548364109265872
20100402,0.0,0.0,0.0,0.0,0.0,8.773504478387597
20100406,0.0,0.0,0.0,0.0,0.0,9.660624967328108
20100407,0.0,0.0,0.0,0.0,0.0,8.013340328857263
20100408,0.0,0.0,0.0,0.0,0.0,6.678053307847979
20100409,0.0,0.0,0.0,0.0,0.0,5.5864690167616775
20100412,0.0,0.0,0.0,0.0,0.0,4.68749780291987
20100413,0.0,0.0,0.0,0.0,0.0,3.959583931953559
20100414,0.0,0.0,0.0,0.0,0.0,3.364714239309255
20100415,0.0,0.0,0.0,0.0,0.0,2.8932861673389336
20100416,0.0,0.0,0.0,0.0,0.0,2.508317717022026
20100419,0.0,0.0,0.0,0.0,0.0,8.70145811021972
20100420,0.0,0.0,0.0,0.0,0.0,14.036680065271506
20100421,0.0,0.0,0.0,0.0,0.0,16.65007805026042
20100422,0.0,0.0,0.0,0.0,0.0,18.90987304637682
20100423,0.0,0.0,0.0,0.0,0.0,20.761280729932196
20100426,0.0,0.0,0.0,0.0,0.0,22.296141946829444
20100427,0.0,0.0,0.0,0.0,0.0,23.54963293428371
20100428,0.0,0.0,0.0,0.0,0.0,19.149524596956734
20100429,0.0,0.0,0.0,0.0,0.0,21.02766828388984
20100430,0.0,0.0,0.0,0.0,0.0,17.095409648710852
20100504,0.0,0.0,0.0,0.0,0.0,13.87834489170733
20100505,0.0,0.0,0.0,0.0,0.0,11.238606951147421
20100506,0.0,0.0,0.0,0.0,0.0,9.080492921326035
20100507,0.0,0.0,0.0,0.0,0.0,7.31823663434404
20100510,0.0,0.0,0.0,0.0,0.0,5.87721566398478
20100511,0.0,0.0,0.0,0.0,0.0,0.05562742235229289
20100512,0.0,0.0,0.0,0.0,0.0,-4.541155431386883
20100513,0.0,0.0,0.0,0.0,0.0,-8.237843542205162
20100514,0.0,0.0,0.0,0.0,0.0,-11.202032119336128
20100517,0.0,0.0,0.0,0.0,0.0,-13.46469335619639
20100518,0.0,0.0,0.0,0.0,0.0,-15.331739116347205
20100519,0.0,0.0,0.0,0.0,0.0,-16.497751990522055
20100520,0.0,0.0,0.0,0.0,0.0,-17.76357932871572
20100521,0.0,0.0,0.0,0.0,0.0,-18.943155003935
20100524,0.0,0.0,0.0,0.0,0.0,-19.77720246022536
20100525,0.0,0.0,0.0,0.0,0.0,-20.45340395100084
20100526,0.0,0.0,0.0,0.0,0.0,-20.550700039992787
20100527,0.0,0.0,0.0,0.0,0.0,-20.606040061946228
20100528,0.0,0.0,0.0,0.0,0.0,-20.500684597823533
20100531,0.0,0.0,0.0,0.0,0.0,-16.69104870289601
20100601,0.0,0.0,0.0,0.0,0.0,-13.574082448357029
20100602,0.0,0.0,0.0,0.0,0.0,-11.02380153566669
20100603,0.0,0.0,0.0,0.0,0.0,-8.937893330913724
20100604,0.0,0.0,0.0,0.0,0.0,-11.016205813958592
20100607,0.0,0.0,0.0,0.0,0.0,-12.735244921254155
20100608,0.0,0.0,0.0,0.0,0.0,-13.95810621049058
20100609,0.0,0.0,0.0,0.0,0.0,-14.941680004393861
20100610,0.0,0.0,0.0,0.0,0.0,-15.79049772104639
20100611,0.0,0.0,0.0,0.0,0.0,-16.203631379923802
20100617,0.0,0.0,0.0,0.0,0.0,-16.649902472115166
20100618,0.0,0.0,0.0,0.0,0.0,-13.549025452799963
20100621,0.0,0.0,0.0,0.0,0.0,-14.663815013802711
20100622,0.0,0.0,0.0,0.0,0.0,-15.630603382079858
20100623,0.0,0.0,0.0,0.0,0.0,-15.935391929173361
20100624,0.0,0.0,0.0,0.0,0.0,-12.967324508183916
20100625,0.0,0.0,0.0,0.0,0.0,-10.539817787770513
20100628,0.0,0.0,0.0,0.0,0.0,-8.551225661919906
20100629,0.0,0.0,0.0,0.0,0.0,-6.922560101358757
20100630,0.0,0.0,0.0,0.0,0.0,-5.590845843194678
20100701,0.0,0.0,0.0,0.0,0.0,-7.66795375091456
20100702,0.0,0.0,0.0,0.0,0.0,-9.366050544646756
20100705,0.0,0.0,0.0,0.0,0.0,-10.754796331049512
20100706,0.0,0.0,0.0,0.0,0.0,-8.734512577162077
20100707,0.0,0.0,0.0,0.0,0.0,-7.080790596587493
20100708,0.0,0.0,0.0,0.0,0.0,-5.727847175180904
20100709,0.0,0.0,0.0,0.0,0.0,-7.898147799290498
20100712,0.0,0.0,0.0,0.0,0.0,-9.937198436618981
20100713,0.0,0.0,0.0,0.0,0.0,-11.624647335593888
20100714,0.0,0.0,0.0,0.0,0.0,-13.136797617553212
20100715,0.0,0.0,0.0,0.0,0.0,-14.307169764014647
20100716,0.0,0.0,0.0,0.0,0.0,-15.258603645425044
20100719,0.0,0.0,0.0,0.0,0.0,-16.049279379912445
20100720,0.0,0.0,0.0,0.0,0.0,-16.767190448280264
20100721,0.0,0.0,0.0,0.0,0.0,-18.048074859418108
20100722,0.0,0.0,0.0,0.0,0.0,-14.672352841688689
20100723,0.0,0.0,0.0,0.0,0.0,-11.908951084590957
20100726,0.0,0.0,0.0,0.0,0.0,-9.646037412115652
20100727,0.0,0.0,0.0,0.0,0.0,-7.792503118550099
20100728,0.0,0.0,0.0,0.0,0.0,-6.272859309449822
20100729,0.0,0.0,0.0,0.0,0.0,-5.009395694475905
20100730,0.0,0.0,0.0,0.0,0.0,-3.9746365676546325
20100802,0.0,0.0,0.0,0.0,0.0,-3.1256052766210938
20100803,0.0,0.0,0.0,0.0,0.0,-2.4026682059243583
20100804,0.0,0.0,0.0,0.0,0.0,-1.824911883621137
20100805,0.0,0.0,0.0,0.0,0.0,4.880139727997064
20100806,0.0,0.0,0.0,0.0,0.0,10.640075905781895
20100809,0.0,0.0,0.0,0.0,0.0,15.376345566692068
20100810,0.0,0.0,0.0,0.0,0.0,19.10815352587803
20100811,0.0,0.0,0.0,0.0,0.0,22.357292317416437
20100812,0.0,0.0,0.0,0.0,0.0,25.077076188882433
20100813,0.0,0.0,0.0,0.0,0.0,26.9730877965636
20100816,0.0,0.0,0.0,0.0,0.0,27.49896678882768
20100817,0.0,0.0,0.0,0.0,0.0,27.65778663205483
20100818,0.0,0.0,0.0,0.0,0.0,27.840903831564813
20100819,0.0,0.0,0.0,0.0,0.0,28.08721712212252
20100820,0.0,0.0,0.0,0.0,0.0,28.30646510189472
20100823,0.0,0.0,0.0,0.0,0.0,28.488528995177155
20100824,0.0,0.0,0.0,0.0,0.0,27.916291277544065
20100825,0.0,0.0,0.0,0.0,0.0,27.46491855950774
20100826,0.0,0.0,0.0,0.0,0.0,27.05443485486791
20100827,0.0,0.0,0.0,0.0,0.0,26.860664116775798
20100830,0.0,0.0,0.0,0.0,0.0,26.515694952165248
20100831,0.0,0.0,0.0,0.0,0.0,26.229971819094718
20100901,0.0,0.0,0.0,0.0,0.0,25.995135709097184
20100902,0.0,0.0,0.0,0.0,0.0,25.55511120618384
20100903,0.0,0.0,0.0,0.0,0.0,25.11668685347668
20100906,0.0,0.0,0.0,0.0,0.0,24.704666202884194
20100907,0.0,0.0,0.0,0.0,0.0,24.435731897103576
20100908,0.0,0.0,0.0,0.0,0.0,24.117113389652825
20100909,0.0,0.0,0.0,0.0,0.0,23.953191344461953
20100910,0.0,0.0,0.0,0.0,0.0,23.880394017346458
20100913,0.0,0.0,0.0,0.0,0.0,23.850138895765713
20100914,0.0,0.0,0.0,0.0,0.0,24.028991707328462
20100915,0.0,0.0,0.0,0.0,0.0,24.10733437173984
20100916,0.0,0.0,0.0,0.0,0.0,24.06071115347455
20100917,0.0,0.0,0.0,0.0,0.0,24.020893698201135
20100920,0.0,0.0,0.0,0.0,0.0,24.00113829501436
20100921,0.0,0.0,0.0,0.0,0.0,24.428223184032007
20100927,0.0,0.0,0.0,0.0,0.0,24.782030801587428
20100928,0.0,0.0,0.0,0.0,0.0,25.057953917955956
20100929,0.0,0.0,0.0,0.0,0.0,25.30726286074854
20100930,0.0,0.0,0.0,0.0,0.0,25.656570297921718
20101008,0.0,0.0,0.0,0.0,0.0,25.948460878240628
20101011,0.0,0.0,0.0,0.0,0.0,26.520568453233565
20101012,0.0,0.0,0.0,0.0,0.0,27.483623901870224
20101013,0.0,0.0,0.0,0.0,0.0,27.110051875014733
20101014,0.0,0.0,0.0,0.0,0.0,26.80858963996405
20101015,0.0,0.0,0.0,0.0,0.0,26.42964235276538
20101018,0.0,0.0,0.0,0.0,0.0,26.335439564923774
20101019,0.0,0.0,0.0,0.0,0.0,26.30830217848922
20101020,0.0,0.0,0.0,0.0,0.0,26.095354176374048
20101021,0.0,0.0,0.0,0.0,0.0,26.351368917883704
20101022,0.0,0.0,0.0,0.0,0.0,26.469920706586045
20101025,0.0,0.0,0.0,0.0,0.0,26.51070153579928
20101026,0.0,0.0,0.0,0.0,0.0,26.516628772266547
20101027,0.0,0.0,0.0,0.0,0.0,26.337190737486683
20101028,0.0,0.0,0.0,0.0,0.0,26.16529148753886
20101029,0.0,0.0,0.0,0.0,0.0,25.629608695325267
20101101,0.0,0.0,0.0,0.0,0.0,25.178060296248102
20101102,0.0,0.0,0.0,0.0,0.0,24.280958337310345
20101103,0.0,0.0,0.0,0.0,0.0,23.43177727573544
20101104,0.0,0.0,0.0,0.0,0.0,22.708342379267293
20101105,0.0,0.0,0.0,0.0,0.0,22.112918806140858
20101108,0.0,0.0,0.0,0.0,0.0,21.600872333070786
20101109,0.0,0.0,0.0,0.0,0.0,21.00505504188049
20101110,0.0,0.0,0.0,0.0,0.0,20.704320244769526
20101111,0.0,0.0,0.0,0.0,0.0,20.466551045852757
20101112,0.0,0.0,0.0,0.0,0.0,20.310495718711692
20101115,0.0,0.0,0.0,0.0,0.0,20.145379040262956
20101116,0.0,0.0,0.0,0.0,0.0,19.593734064982566
20101117,0.0,0.0,0.0,0.0,0.0,18.80511156904372
20101118,0.0,0.0,0.0,0.0,0.0,18.137863321455743
20101119,0.0,0.0,0.0,0.0,0.0,17.523063083599403
20101122,0.0,0.0,0.0,0.0,0.0,17.039847974718498
20101123,0.0,0.0,0.0,0.0,0.0,16.71774544928177
20101124,0.0,0.0,0.0,0.0,0.0,13.6136477671378
20101125,0.0,0.0,0.0,0.0,0.0,11.076007801236413
20101126,0.0,0.0,0.0,0.0,0.0,9.001107647080554
20101129,0.0,0.0,0.0,0.0,0.0,7.303449955808818
20101130,0.0,0.0,0.0,0.0,0.0,5.911570197653182
20101201,0.0,0.0,0.0,0.0,0.0,4.770919122221695
20101202,0.0,0.0,0.0,0.0,0.0,0.9432954391163074
20101203,0.0,0.0,0.0,0.0,0.0,-2.1695788864437313
20101206,0.0,0.0,0.0,0.0,0.0,-4.591066741251977
20101207,0.0,0.0,0.0,0.0,0.0,-6.774647515578427
20101208,0.0,0.0,0.0,0.0,0.0,-8.596467517991703
20101209,0.0,0.0,0.0,0.0,0.0,-10.120175139613345
20101210,0.0,0.0,0.0,0.0,0.0,-11.333942981589729
20101213,0.0,0.0,0.0,0.0,0.0,-12.330896142410955
20101214,0.0,0.0,0.0,0.0,0.0,-10.015061548528797
20101215,0.0,0.0,0.0,0.0,0.0,-8.109318693936975
20101216,0.0,0.0,0.0,0.0,0.0,-6.54681533598124
20101217,0.0,0.0,0.0,0.0,0.0,-5.267281595840551
20101220,0.0,0.0,0.0,0.0,0.0,-8.359970187240192
20101221,0.0,0.0,0.0,0.0,0.0,-10.892749161587947
20101222,0.0,0.0,0.0,0.0,0.0,-13.080869422447305
20101223,0.0,0.0,0.0,0.0,0.0,-10.593482417130401
20101224,0.0,0.0,0.0,0.0,0.0,-8.556290450832426
20101227,0.0,0.0,0.0,0.0,0.0,-6.885993435325534
20101228,0.0,0.0,0.0,0.0,0.0,-5.519893943837097
20101229,0.0,0.0,0.0,0.0,0.0,-4.402474749652013
20101230,0.0,0.0,0.0,0.0,0.0,-3.4891104949134393
20101231,0.0,0.0,0.0,0.0,0.0,-2.7430986848851653
20110104,0.0,0.0,0.0,0.0,0.0,-2.117265621067896
20110105,0.0,0.0,0.0,0.0,0.0,-1.6067208798347734
20110106,0.0,0.0,0.0,0.0,0.0,-1.1889979348977757
20110107,0.0,0.0,0.0,0.0,0.0,-0.851191356113011
20110110,0.0,0.0,0.0,0.0,0.0,-0.5674402971047091
20110111,0.0,0.0,0.0,0.0,0.0,-0.35247941585167847
20110112,0.0,0.0,0.0,0.0,0.0,-0.17637991700742778
20110113,0.0,0.0,0.0,0.0,0.0,-0.024167234973482964
20110114,0.0,0.0,0.0,0.0,0.0,0.10021936777006074
20110117,0.0,0.0,0.0,0.0,0.0,0.21872451575521762
20110118,0.0,0.0,0.0,0.0,0.0,0.31507566265579884
20110119,0.0,0.0,0.0,0.0,0.0,0.3970517684884222
20110120,0.0,0.0,0.0,0.0,0.0,6.586383450221301
20110121,0.0,0.0,0.0,0.0,0.0,11.653759351998259
20110124,0.0,0.0,0.0,0.0,0.0,15.426981221857506
20110125,0.0,0.0,0.0,0.0,0.0,18.452011613537657
20110126,0.0,0.0,0.0,0.0,0.0,20.92670203491336
20110127,0.0,0.0,0.0,0.0,0.0,17.009750103779645
20110128,0.0,0.0,0.0,0.0,0.0,19.20375268035038
20110131,0.0,0.0,0.0,0.0,0.0,21.178020536417094
20110201,0.0,0.0,0.0,0.0,0.0,22.92071776466091
20110209,0.0,0.0,0.0,0.0,0.0,24.058938845844146
20110210,0.0,0.0,0.0,0.0,0.0,24.189411018688034
20110211,0.0,0.0,0.0,0.0,0.0,24.322932891917443
20110214,0.0,0.0,0.0,0.0,0.0,24.549430667348904
20110215,0.0,0.0,0.0,0.0,0.0,25.215146544493347
20110216,0.0,0.0,0.0,0.0,0.0,25.587856851090752
20110217,0.0,0.0,0.0,0.0,0.0,25.895339274535445
20110218,0.0,0.0,0.0,0.0,0.0,26.03147820179958
20110221,0.0,0.0,0.0,0.0,0.0,21.191476325467036
20110222,0.0,0.0,0.0,0.0,0.0,17.23198207479952
20110223,0.0,0.0,0.0,0.0,0.0,13.996563967277211
20110224,0.0,0.0,0.0,0.0,0.0,11.3581860133471
20110225,0.0,0.0,0.0,0.0,0.0,9.201020589521372
20110228,0.0,0.0,0.0,0.0,0.0,7.4333986949429836
20110301,0.0,0.0,0.0,0.0,0.0,5.986298678206395
20110302,0.0,0.0,0.0,0.0,0.0,4.802900600446003
20110303,0.0,0.0,0.0,0.0,0.0,3.8225351353305626
20110304,0.0,0.0,0.0,0.0,0.0,3.0208614885289653
20110307,0.0,0.0,0.0,0.0,0.0,2.3655058745995197
20110308,0.0,0.0,0.0,0.0,0.0,1.8294940014135717
20110309,0.0,0.0,0.0,0.0,0.0,6.177726942367972
20110310,0.0,0.0,0.0,0.0,0.0,4.947939134993941
20110311,0.0,0.0,0.0,0.0,0.0,3.943748485187432
20110314,0.0,0.0,0.0,0.0,0.0,-1.23102722760561
20110315,0.0,0.0,0.0,0.0,0.0,-5.4903723143103695
20110316,0.0,0.0,0.0,0.0,0.0,-4.391597207800545
20110317,0.0,0.0,0.0,0.0,0.0,-3.4926864998880456
20110318,0.0,0.0,0.0,0.0,0.0,-2.7546299224045203
20110321,0.0,0.0,0.0,0.0,0.0,-6.641214633528626
20110322,0.0,0.0,0.0,0.0,0.0,-9.532392952040832
20110323,0.0,0.0,0.0,0.0,0.0,-12.114224435316764
20110324,0.0,0.0,0.0,0.0,0.0,-14.405639138276536
20110325,0.0,0.0,0.0,0.0,0.0,-11.689466320066023
20110328,0.0,0.0,0.0,0.0,0.0,-13.942213418402087
20110329,0.0,0.0,0.0,0.0,0.0,-11.309514809933829
20110330,0.0,0.0,0.0,0.0,0.0,-13.649367648869266
20110331,0.0,0.0,0.0,0.0,0.0,-15.567755230375212
20110401,0.0,0.0,0.0,0.0,0.0,-17.116296919111832
20110406,0.0,0.0,0.0,0.0,0.0,-13.906906213240529
20110407,0.0,0.0,0.0,0.0,0.0,-11.280176761731287
20110408,0.0,0.0,0.0,0.0,0.0,-9.132850913500251
20110411,0.0,0.0,0.0,0.0,0.0,-7.361109917744193
20110412,0.0,0.0,0.0,0.0,0.0,-5.911633153598713
20110413,0.0,0.0,0.0,0.0,0.0,-4.711269271078001
20110414,0.0,0.0,0.0,0.0,0.0,-3.7319195712405215
20110415,0.0,0.0,0.0,0.0,0.0,-2.927107882689238
20110418,0.0,0.0,0.0,0.0,0.0,-7.9631231703922865
20110419,0.0,0.0,0.0,0.0,0.0,-12.111076288082426
20110420,0.0,0.0,0.0,0.0,0.0,-16.384887367595258
20110421,0.0,0.0,0.0,0.0,0.0,-19.33008698884713
20110422,0.0,0.0,0.0,0.0,0.0,-21.7182250524287
20110425,0.0,0.0,0.0,0.0,0.0,-23.758927461303895
20110426,0.0,0.0,0.0,0.0,0.0,-25.937141152931158
20110427,0.0,0.0,0.0,0.0,0.0,-27.469371450543417
20110428,0.0,0.0,0.0,0.0,0.0,-28.743763856395955
20110429,0.0,0.0,0.0,0.0,0.0,-29.9271646028503
20110503,0.0,0.0,0.0,0.0,0.0,-30.63249271697185
20110504,0.0,0.0,0.0,0.0,0.0,-31.232906198486006
20110505,0.0,0.0,0.0,0.0,0.0,-31.739681827487797
20110506,0.0,0.0,0.0,0.0,0.0,-32.15403667957817
20110509,0.0,0.0,0.0,0.0,0.0,-32.60618616825648
20110510,0.0,0.0,0.0,0.0,0.0,-32.71928630793585
20110511,0.0,0.0,0.0,-2.736875733232108,0.0,-32.40759680085992
20110512,0.0,0.0,0.0,-4.974542588776287,0.0,-32.06886005263757
20110513,0.0,0.0,0.0,-6.851249064548229,0.0,-31.81431172480603
20110516,0.0,0.0,0.0,-8.256476463451177,0.0,-31.304331259054006
20110517,0.0,0.0,0.0,-9.105260251043017,0.0,-30.11413537909659
20110518,0.0,0.0,0.0,-9.802359067373517,0.0,-29.130693892251227
20110519,0.0,0.0,0.0,-10.370279914320301,0.0,-28.31067327009491
20110520,0.0,0.0,0.0,-10.961092333874232,0.0,-28.13232076710331
20110523,0.0,0.0,0.0,-11.417984162391694,0.0,-28.1169717938554
20110524,0.0,0.0,0.0,-11.793867211696337,0.0,-28.101952019128824
20110525,0.0,0.0,0.0,-12.061696571568495,0.0,-28.005439876454187
20110526,0.0,0.0,0.0,-12.265016098881896,0.0,-27.990823441503935
20110527,0.0,0.0,0.0,-12.342767313584913,0.0,-27.79133802567987
20110530,0.0,0.0,0.0,-12.398359585365816,0.0,-27.466294822250177
20110531,0.0,0.0,0.0,-12.463332307697742,0.0,-27.25681363702048
20110601,0.0,0.0,0.0,-12.496502902329194,0.0,-27.076006317312842
20110602,0.0,0.0,0.0,-12.520076723038287,0.0,-26.927568484865116
20110603,0.0,0.0,0.0,-12.53111596888764,0.0,-26.793641734983925
20110607,0.0,0.0,0.0,-12.97143199591672,0.0,-27.09491085133529
20110608,0.0,0.0,0.0,-13.621993350153517,0.0,-22.046972310281994
20110609,0.0,0.0,0.0,-7.963881387836293,0.0,-17.909994740476918
20110610,0.0,0.0,0.0,-3.3362317630107836,0.0,-14.525965729813187
20110613,0.0,0.0,0.0,-5.904633941462302,0.0,-17.6544609676668
20110614,0.0,0.0,0.0,-8.502718056614214,0.0,-14.29748676491942
20110615,0.0,0.0,0.0,-11.3029687153134,0.0,-19.893056028729067
20110616,0.0,0.0,0.0,-4.77601955190312,0.0,-16.087267565811906
20110617,0.0,0.0,0.0,0.5625826195981116,0.0,-21.649009570722193
20110620,0.0,0.0,0.0,4.638118147109872,0.0,-25.495393680610366
20110621,0.0,0.0,0.0,-0.6130731234343486,0.0,-28.633384545706235
20110622,0.0,0.0,0.0,-4.832199022291936,0.0,-31.024416882004115
20110623,0.0,0.0,0.0,-12.010854334832427,0.0,-33.358640883640845
20110624,0.0,0.0,0.0,-17.905568812114314,0.0,-35.35138663684347
20110627,0.0,0.0,0.0,-23.510766500661273,0.0,-37.60660258563434
20110628,0.0,0.0,0.0,-19.04285375379002,0.0,-30.55680566175948
20110629,0.0,0.0,0.0,-23.908754013378648,0.0,-34.03136329608803
20110630,0.0,0.0,0.0,-28.31943321946936,0.0,-36.85319834152917
20110701,0.0,0.0,0.0,-31.838460426415477,0.0,-39.08703898096251
20110704,0.0,0.0,0.0,-25.8621754845373,0.0,-31.79278224951482
20110705,0.0,0.0,0.0,-20.97157089540741,0.0,-25.824498749445787
20110706,0.0,0.0,0.0,-16.975167573035893,0.0,-20.943474990685957
20110707,0.0,0.0,0.0,-13.706298565692434,0.0,-16.950148735081672
20110708,0.0,0.0,0.0,-11.032763952563139,0.0,-5.382782346458927
20110711,0.0,0.0,0.0,-8.844916473621645,0.0,4.050615965780728
20110712,0.0,0.0,0.0,-15.443036430372066,0.0,11.945823476026362
20110713,0.0,0.0,0.0,-20.834746144771394,0.0,9.585999443234156
20110714,0.0,0.0,0.0,-25.247300054572488,0.0,7.656499292425171
20110715,0.0,0.0,0.0,-27.542615165514476,0.0,6.09894309968518
20110718,0.0,0.0,0.0,-15.290031061203834,0.0,13.096973584313915
20110719,0.0,0.0,0.0,-12.669940583748046,0.0,10.53914955223354
20110720,0.0,0.0,0.0,-10.530800794824152,0.0,8.437120610371988
20110721,0.0,0.0,0.0,-8.793120123800858,0.0,6.725377628972448
20110722,0.0,0.0,0.0,-7.374916471417989,0.0,5.326326204525961
20110725,0.0,0.0,0.0,-6.205167069599279,0.0,4.186327836461263
20110726,0.0,0.0,0.0,2.686447588423469,0.0,3.2557149603300624
20110727,0.0,0.0,0.0,2.018418069284892,0.0,2.492421362781081
20110728,0.0,0.0,0.0,1.4764398078924235,0.0,1.8762509041509374
20110729,0.0,0.0,0.0,9.05377788162067,0.0,8.822088327131592
20110801,0.0,0.0,0.0,15.437877002833908,0.0,14.512801460834837
20110802,0.0,0.0,0.0,20.477577812944574,0.0,18.966979498502536
20110803,0.0,0.0,0.0,24.78927689539431,0.0,22.823041996409554
20110804,0.0,0.0,0.0,27.464755398051704,0.0,25.151128597545803
20110805,0.0,0.0,0.0,29.65899163954119,0.0,27.064616481661368
20110808,0.0,0.0,0.0,31.33883338052148,0.0,28.566792635786626
20110809,0.0,0.0,0.0,31.38360067867674,0.0,23.273713438373708
20110810,0.0,0.0,0.0,31.423140256007283,0.0,18.94559577756277
20110811,0.0,0.0,0.0,31.387789257022806,0.0,19.750035781479774
20110812,0.0,0.0,0.0,31.420022517382915,0.0,20.49089777706278
20110815,0.0,0.0,0.0,31.4322397466192,0.0,21.076366604736485
20110816,0.0,0.0,0.0,31.36631509486793,0.0,17.14872497489586
20110817,0.0,0.0,0.0,31.319063352618322,0.0,13.936364321521884
20110818,0.0,0.0,0.0,25.751431799606333,0.0,11.309112282526614
20110819,0.0,0.0,0.0,21.192160038476878,0.0,9.164258456661091
20110822,0.0,0.0,0.0,17.463355239222857,0.0,3.5268986751696008
20110823,0.0,0.0,0.0,14.414193741068221,0.0,-1.157998424873133
20110824,0.0,0.0,0.0,11.920142653495443,0.0,-5.009162483585174
20110825,0.0,0.0,0.0,9.882728774282352,0.0,-8.27993789960501
20110826,0.0,0.0,0.0,8.217278622448738,0.0,-11.019044060453597
20110829,0.0,0.0,0.0,6.853372246395916,0.0,-13.188482757602705
20110830,0.0,0.0,0.0,5.738118678581005,0.0,-14.960750184642563
20110831,0.0,0.0,0.0,4.82500262363921,0.0,-12.14680089913362
20110901,0.0,0.0,0.0,-2.2887365190860964,0.0,-14.205517685367269
20110902,0.0,0.0,0.0,-1.733648084394032,0.0,-11.527994485665067
20110905,0.0,0.0,0.0,-1.2795162309642198,0.0,-9.337368224842969
20110906,0.0,0.0,0.0,-9.300150845282182,0.0,-13.449342789983474
20110907,0.0,0.0,0.0,-15.942624344194025,0.0,-17.255475634167517
20110908,0.0,0.0,0.0,-21.77559698586935,0.0,-20.840599032360238
20110909,0.0,0.0,0.0,-28.740625974920096,0.0,-23.84347127001113
20110913,0.0,0.0,0.0,-34.40660107384201,0.0,-26.281921003806684
20110914,0.0,0.0,0.0,-39.38759590485172,0.0,-28.28175039485298
20110915,0.0,0.0,0.0,-43.02458583501986,0.0,-29.975093304989272
20110916,0.0,0.0,0.0,-47.46947946463553,0.0,-32.92264971214072
20110919,0.0,0.0,0.0,-52.43899326994112,0.0,-36.84021853353312
